name,type,type_id,n_dims,dims,offset,bytes
blk.33.ssm_beta.weight,BF16,30,2,5120x48,4131940416,491520
blk.33.ssm_conv1d.weight,F32,0,2,4x10240,4132431936,163840
blk.33.ssm_dt.bias,F32,0,1,48,4132595776,192
blk.33.ssm_norm.weight,F32,0,1,128,4132595968,512
blk.33.ssm_out.weight,PQ2_0,142,2,6144x5120,4132596480,
blk.34.attn_gate.weight,PQ2_0,142,2,5120x6144,4140952320,
blk.34.attn_norm.weight,F32,0,1,5120,4149308160,20480
blk.34.attn_qkv.weight,PQ2_0,142,2,5120x10240,4149328640,
blk.34.ffn_down.weight,PQ2_0,142,2,17408x5120,4163255040,
blk.34.ffn_gate.weight,PQ2_0,142,2,5120x17408,4186929920,
blk.34.ffn_up.weight,PQ2_0,142,2,5120x17408,4210604800,
blk.34.post_attention_norm.weight,F32,0,1,5120,4234279680,20480
blk.34.ssm_a,F32,0,1,48,4234300160,192
blk.34.ssm_alpha.weight,BF16,30,2,5120x48,4234300352,491520
blk.34.ssm_beta.weight,BF16,30,2,5120x48,4234791872,491520
blk.34.ssm_conv1d.weight,F32,0,2,4x10240,4235283392,163840
blk.34.ssm_dt.bias,F32,0,1,48,4235447232,192
blk.34.ssm_norm.weight,F32,0,1,128,4235447424,512
blk.34.ssm_out.weight,PQ2_0,142,2,6144x5120,4235447936,
blk.35.attn_k.weight,PQ2_0,142,2,5120x1024,4243803776,
blk.35.attn_k_norm.weight,F32,0,1,256,4245196416,1024
blk.35.attn_norm.weight,F32,0,1,5120,4245197440,20480
blk.35.attn_output.weight,PQ2_0,142,2,6144x5120,4245217920,
blk.35.attn_q.weight,PQ2_0,142,2,5120x12288,4253573760,
blk.35.attn_q_norm.weight,F32,0,1,256,4270285440,1024
blk.35.attn_v.weight,PQ2_0,142,2,5120x1024,4270286464,
blk.35.ffn_down.weight,PQ2_0,142,2,17408x5120,4271679104,
blk.35.ffn_gate.weight,PQ2_0,142,2,5120x17408,4295353984,
blk.35.ffn_up.weight,PQ2_0,142,2,5120x17408,4319028864,
blk.35.post_attention_norm.weight,F32,0,1,5120,4342703744,20480
blk.36.attn_gate.weight,PQ2_0,142,2,5120x6144,4342724224,
blk.36.attn_norm.weight,F32,0,1,5120,4351080064,20480
blk.36.attn_qkv.weight,PQ2_0,142,2,5120x10240,4351100544,
blk.36.ffn_down.weight,PQ2_0,142,2,17408x5120,4365026944,
blk.36.ffn_gate.weight,PQ2_0,142,2,5120x17408,4388701824,
blk.36.ffn_up.weight,PQ2_0,142,2,5120x17408,4412376704,
blk.36.post_attention_norm.weight,F32,0,1,5120,4436051584,20480
blk.36.ssm_a,F32,0,1,48,4436072064,192
blk.36.ssm_alpha.weight,BF16,30,2,5120x48,4436072256,491520
blk.36.ssm_beta.weight,BF16,30,2,5120x48,4436563776,491520
blk.36.ssm_conv1d.weight,F32,0,2,4x10240,4437055296,163840
blk.36.ssm_dt.bias,F32,0,1,48,4437219136,192
blk.36.ssm_norm.weight,F32,0,1,128,4437219328,512
blk.36.ssm_out.weight,PQ2_0,142,2,6144x5120,4437219840,
blk.37.attn_gate.weight,PQ2_0,142,2,5120x6144,4445575680,
blk.37.attn_norm.weight,F32,0,1,5120,4453931520,20480
blk.37.attn_qkv.weight,PQ2_0,142,2,5120x10240,4453952000,
blk.37.ffn_down.weight,PQ2_0,142,2,17408x5120,4467878400,
blk.37.ffn_gate.weight,PQ2_0,142,2,5120x17408,4491553280,
