name                                  type        shape                             offset
blk.21.ffn_down.weight                PQ2_0       17408x5120                    2837979136
blk.21.ffn_gate.weight                PQ2_0       5120x17408                    2861654016
blk.21.ffn_up.weight                  PQ2_0       5120x17408                    2885328896
blk.21.post_attention_norm.weight     F32         5120                          2909003776
blk.21.ssm_a                          F32         48                            2909024256
blk.21.ssm_alpha.weight               BF16        5120x48                       2909024448
blk.21.ssm_beta.weight                BF16        5120x48                       2909515968
blk.21.ssm_conv1d.weight              F32         4x10240                       2910007488
blk.21.ssm_dt.bias                    F32         48                            2910171328
blk.21.ssm_norm.weight                F32         128                           2910171520
blk.21.ssm_out.weight                 PQ2_0       6144x5120                     2910172032
blk.22.attn_gate.weight               PQ2_0       5120x6144                     2918527872
blk.22.attn_norm.weight               F32         5120                          2926883712
blk.22.attn_qkv.weight                PQ2_0       5120x10240                    2926904192
blk.22.ffn_down.weight                PQ2_0       17408x5120                    2940830592
blk.22.ffn_gate.weight                PQ2_0       5120x17408                    2964505472
blk.22.ffn_up.weight                  PQ2_0       5120x17408                    2988180352
blk.22.post_attention_norm.weight     F32         5120                          3011855232
blk.22.ssm_a                          F32         48                            3011875712
blk.22.ssm_alpha.weight               BF16        5120x48                       3011875904
blk.22.ssm_beta.weight                BF16        5120x48                       3012367424
blk.22.ssm_conv1d.weight              F32         4x10240                       3012858944
blk.22.ssm_dt.bias                    F32         48                            3013022784
blk.22.ssm_norm.weight                F32         128                           3013022976
blk.22.ssm_out.weight                 PQ2_0       6144x5120                     3013023488
blk.23.attn_k.weight                  PQ2_0       5120x1024                     3021379328
blk.23.attn_k_norm.weight             F32         256                           3022771968
blk.23.attn_norm.weight               F32         5120                          3022772992
blk.23.attn_output.weight             PQ2_0       6144x5120                     3022793472
blk.23.attn_q.weight                  PQ2_0       5120x12288                    3031149312
blk.23.attn_q_norm.weight             F32         256                           3047860992
blk.23.attn_v.weight                  PQ2_0       5120x1024                     3047862016
blk.23.ffn_down.weight                PQ2_0       17408x5120                    3049254656
blk.23.ffn_gate.weight                PQ2_0       5120x17408                    3072929536
blk.23.ffn_up.weight                  PQ2_0       5120x17408                    3096604416
blk.23.post_attention_norm.weight     F32         5120                          3120279296
blk.24.attn_gate.weight               PQ2_0       5120x6144                     3120299776
blk.24.attn_norm.weight               F32         5120                          3128655616
blk.24.attn_qkv.weight                PQ2_0       5120x10240                    3128676096
blk.24.ffn_down.weight                PQ2_0       17408x5120                    3142602496
blk.24.ffn_gate.weight                PQ2_0       5120x17408                    3166277376
blk.24.ffn_up.weight                  PQ2_0       5120x17408                    3189952256
blk.24.post_attention_norm.weight     F32         5120                          3213627136
blk.24.ssm_a                          F32         48                            3213647616
blk.24.ssm_alpha.weight               BF16        5120x48                       3213647808
blk.24.ssm_beta.weight                BF16        5120x48                       3214139328
blk.24.ssm_conv1d.weight              F32         4x10240                       3214630848
blk.24.ssm_dt.bias                    F32         48                            3214794688
blk.24.ssm_norm.weight                F32         128                           3214794880
blk.24.ssm_out.weight                 PQ2_0       6144x5120                     3214795392
blk.25.attn_gate.weight               PQ2_0       5120x6144                     3223151232
blk.25.attn_norm.weight               F32         5120                          3231507072
blk.25.attn_qkv.weight                PQ2_0       5120x10240                    3231527552
blk.25.ffn_down.weight                PQ2_0       17408x5120                    3245453952
blk.25.ffn_gate.weight                PQ2_0       5120x17408                    3269128832
blk.25.ffn_up.weight                  PQ2_0       5120x17408                    3292803712
blk.25.post_attention_norm.weight     F32         5120                          3316478592
blk.25.ssm_a                          F32         48                            3316499072
blk.25.ssm_alpha.weight               BF16        5120x48                       3316499264
blk.25.ssm_beta.weight                BF16        5120x48                       3316990784
blk.25.ssm_conv1d.weight              F32         4x10240                       3317482304
blk.25.ssm_dt.bias                    F32         48                            3317646144
blk.25.ssm_norm.weight                F32         128                           3317646336
blk.25.ssm_out.weight                 PQ2_0       6144x5120                     3317646848
blk.26.attn_gate.weight               PQ2_0       5120x6144                     3326002688
blk.26.attn_norm.weight               F32         5120                          3334358528
blk.26.attn_qkv.weight                PQ2_0       5120x10240                    3334379008
blk.26.ffn_down.weight                PQ2_0       17408x5120                    3348305408
blk.26.ffn_gate.weight                PQ2_0       5120x17408                    3371980288
blk.26.ffn_up.weight                  PQ2_0       5120x17408                    3395655168
blk.26.post_attention_norm.weight     F32         5120                          3419330048
blk.26.ssm_a                          F32         48                            3419350528
blk.26.ssm_alpha.weight               BF16        5120x48                       3419350720
blk.26.ssm_beta.weight                BF16        5120x48                       3419842240
blk.26.ssm_conv1d.weight              F32         4x10240                       3420333760
blk.26.ssm_dt.bias                    F32         48                            3420497600
blk.26.ssm_norm.weight                F32         128                           3420497792
blk.26.ssm_out.weight                 PQ2_0       6144x5120                     3420498304
blk.27.attn_k.weight                  PQ2_0       5120x1024                     3428854144
blk.27.attn_k_norm.weight             F32         256                           3430246784
blk.27.attn_norm.weight               F32         5120                          3430247808
blk.27.attn_output.weight             PQ2_0       6144x5120                     3430268288
blk.27.attn_q.weight                  PQ2_0       5120x12288                    3438624128
blk.27.attn_q_norm.weight             F32         256                           3455335808
blk.27.attn_v.weight                  PQ2_0       5120x1024                     3455336832
blk.27.ffn_down.weight                PQ2_0       17408x5120                    3456729472
blk.27.ffn_gate.weight                PQ2_0       5120x17408                    3480404352
blk.27.ffn_up.weight                  PQ2_0       5120x17408                    3504079232
blk.27.post_attention_norm.weight     F32         5120                          3527754112
blk.28.attn_gate.weight               PQ2_0       5120x6144                     3527774592
blk.28.attn_norm.weight               F32         5120                          3536130432
blk.28.attn_qkv.weight                PQ2_0       5120x10240                    3536150912
blk.28.ffn_down.weight                PQ2_0       17408x5120                    3550077312
blk.28.ffn_gate.weight                PQ2_0       5120x17408                    3573752192
blk.28.ffn_up.weight                  PQ2_0       5120x17408                    3597427072
blk.28.post_attention_norm.weight     F32         5120                          3621101952
blk.28.ssm_a                          F32         48                            3621122432
blk.28.ssm_alpha.weight               BF16        5120x48                       3621122624
blk.28.ssm_beta.weight                BF16        5120x48                       3621614144
blk.28.ssm_conv1d.weight              F32         4x10240                       3622105664
blk.28.ssm_dt.bias                    F32         48                            3622269504
blk.28.ssm_norm.weight                F32         128                           3622269696
blk.28.ssm_out.weight                 PQ2_0       6144x5120                     3622270208
blk.29.attn_gate.weight               PQ2_0       5120x6144                     3630626048
blk.29.attn_norm.weight               F32         5120                          3638981888
blk.29.attn_qkv.weight                PQ2_0       5120x10240                    3639002368
